icd_code,root
45829,I95
07044,B15
7994,R69
2761,E87
78959,R10
2767,E87
3051,F10
V08,Z21
V4986,R68
V462,
496,J44
29680,F30
5715,K70
5070,J69
42833,I50
51881,J98
5849,N17
5781,K92
2763,E87
5119,R09
5180,J98
V850,Z68
4280,I50
42731,I47
42781,I47
2859,D64
4589,I95
41401,I25
71590,M15
73300,M81
45981,R58
33394,
3004,F41
4019,I10
4240,I34
41071,I21
42823,I50
41412,I25
5854,N18
40390,I12
25000,E11
V5867,Z51
412,I25
V1254,
53081,K22
5303,K22
V0481,Z23
3240,
3484,G93
3485,G93
340,G35
04109,B95
V168,Z80
V161,Z80
04102,B95
04184,B95
78829,N23
9950,T78
6185,N81
49390,J45
30000,F41
311,F32
7291,M79
5641,K59
6186,N81
V1041,Z85
31401,F90
V1582,Z91
4571,I97
3331,
56400,K59
E9352,
78052,R45
A419,A41
J9601,J96
I5033,I50
J189,J18
J9602,J96
R6521,R65
E883,E88
E43,E43
C3431,C34
I130,I13
J440,J44
I4892,I48
C787,C78
C782,C78
C779,C77
C7970,C79
J441,J44
J910,J91
D684,D68
E872,E87
G9340,G93
Z66,Z66
Z515,Z51
I4891,I48
Z7902,Z79
N1830,N18
E785,E78
I2510,I25
Z955,Z95
G4733,G47
E1122,E11
K219,K21
F419,F41
E559,E55
Z87891,Z87
K5900,K59
D630,D63
Z6826,Z68
K7200,K72
R579,R57
I442,I44
I82621,I82
D696,D69
I469,I46
I10,I10
Z7901,Z79
M47892,M47
I7389,I73
Z96641,Z96
J0190,J01
G4700,G47
R609,R60
D509,D50
R509,R50
M1990,M19
Y92239,Y92
Z7952,Z79
Z825,Z82
Z781,Z78
Z9981,Z99
J45909,J45
I447,I44
M7981,M79
T45515A,T45
42832,I50
4139,I20
4400,I70
34690,G43
25062,E11
3572,G61
2724,E78
27801,E66
72610,M75
V4582,Z95
V8538,Z68
K2091,K20
R578,R57
N170,N17
E871,E87
N390,N39
I5181,I51
G9349,G93
F10188,F10
D62,D62
F10139,F10
Z20822,Z20
E878,E87
K7030,K70
B9620,B96
F319,F31
Z86711,Z86
D6959,D69
E875,E87
R911,R91
D72829,D72
1628,C33
486,J18
51884,J98
2851,D64
49121,J41
41400,I25
V4581,Z95
5859,N18
36250,H35
28522,D64
79902,R69
7850,R00
41011,I21
42821,I50
41402,I25
99672,T82
7455,Q20
E8790,
E8497,
2720,E78
78791,R19
42822,I50
28866,D70
57420,K80
5853,N18
2809,D50
C7931,C79
G935,G93
G936,G93
G911,G91
C3490,C34
F05,F05
F17210,F17
G510,G51
M21372,M21
E039,E03
M810,M81
R001,R00
R739,R73
T380X5A,T38
R3915,R39
2764,E87
00845,A04
29281,F19
1122,B37
27669,E87
7102,M32
E9393,
2449,E89
03843,A40
42843,I50
5990,N39
99591,T78
6930,
1123,B37
V707,Z00
0383,A40
78552,R00
5184,J98
5845,N17
5809,N00
34831,G93
2762,E87
5601,K56
99592,T78
4739,J32
78097,R45
E9478,
4940,J47
56210,K57
53550,K29
5768,K91
7904,R78
5730,K76
2875,D69
I5023,I50
J9691,J96
C7951,C79
J90,J90
N179,N17
I255,I25
I480,I48
I2720,I27
I079,I07
Z951,Z95
N183,N18
D638,D63
C439,C43
I309,I30
I314,I31
E119,E11
M069,M06
Z86718,Z86
I214,I21
R570,R57
I509,I50
A047,A04
S3730XA,S37
E118,E11
X58XXXA,X58
R310,R31
Z23,Z23
K2960,K29
B9681,B96
I252,I25
R410,R41
J9811,J98
F329,F32
I9581,I95
4241,I34
7464,
4254,I42
42842,I50
4168,I27
2511,
V6284,
33829,G89
V1552,Z91
30590,F10
30500,F10
V600,
07054,B15
37950,H15
F10239,F10
F1110,F11
R45851,R45
Z87820,Z87
B1920,B19
Z590,Z59
F1410,F14
F29,F29
Z21,Z21
Z9114,Z91
D72819,D72
0389,A40
20190,C81
78061,R45
4270,I47
5178,J17
90089,S15
135,D86
99811,T81
2753,E83
32723,G47
36411,H20
E8798,
79092,R78
E9342,
1505,C15
53085,K22
1543,C19
2866,D66
99594,T78
20300,C90
2639,E44
99809,T81
2930,F05
45383,I82
99832,T81
99674,T82
99859,T81
56089,K56
55320,K41
27800,E66
V4987,R68
5680,K66
V1581,Z91
V5861,Z51
71596,M15
E8786,
V153,Z91
V6441,
V8533,Z68
81600,S62
E887,
E8499,
0417,B95
T8131XA,T81
C9000,C90
K5660,K56
C786,C78
C7889,C78
C211,C21
E46,E46
Q620,Q62
T814XXA,T81
T8359XA,T83
N12,N12
B3749,B37
K311,K31
I5032,I50
E8809,E88
I482,I48
M179,M17
I129,I12
B9562,B95
Z433,Z43
E669,E66
Z6838,Z68
Y848,Y84
B965,B96
F0391,F03
I2582,I25
Z9181,Z91
I350,I35
A4189,A41
U071,U07
J1289,J12
I5043,I50
I420,I42
M109,M10
Z6833,Z68
R7401,R74
R200,R20
Z9861,Z98
Z95810,Z95
Z8673,Z86
D1802,D18
I619,I61
G40909,G40
03842,A40
78551,R00
570,K76
34830,G93
5761,K91
29900,F84
75169,Q43
7906,R78
28749,D69
79029,R78
V1253,
5939,N28
2749,M10
58389,N05
70724,L89
7907,R78
70703,L89
04112,B95
V443,
V440,
V1006,Z85
V1551,Z91
V1588,Z91
V4502,Z95
03812,A40
51883,J98
70710,L89
0413,B95
71906,M25
V441,
V0254,
53240,K26
2760,E87
4260,I44
53649,K31
V667,Z51
5789,K92
V4611,
79001,R78
59970,N39
43889,I69
V442,
V8741,
53783,K31
V551,
V550,
48241,J15
1120,B37
28984,D75
V1005,Z85
8602,S27
80708,S22
E8809,
85011,S06
25541,E24
81002,S42
8738,S01
V553,
V5332,
0416,B95
04111,B95
4111,I24
9971,
2910,F10
E8782,
71941,M25
E8844,
30390,F10
45182,I80
3968,I08
4142,I25
V1046,Z85
V1079,Z85
G40409,G40
K8510,K85
K8064,K80
I701,I70
I160,I16
I739,I73
Z95820,Z95
J690,J69
G931,G93
Z8674,Z86
J95811,J95
I959,I95
J9600,J96
Y92238,Y92
F209,F20
S42291D,S42
W1830XD,W18
Z85828,Z85
H269,H26
Z720,Z72
L409,L40
L570,L57
M720,M72
J309,J30
F1021,F10
H6120,H61
34839,G93
43491,I66
48249,J15
5829,N03
78722,R19
99731,
40300,I12
34290,G81
E9383,
3129,F91
28529,D64
28521,D64
D649,D64
E7800,E78
R0902,R09
J95821,J95
I81,I81
T82868A,T82
K766,K76
I8510,I85
K740,K74
I864,I86
Y838,Y83
K7460,K74
42612,I44
2662,E53
71594,M15
4580,I95
3659,H40
7224,M50
72252,M50
E8781,
V1011,Z85
V1083,Z85
V173,Z81
V113,
I5022,I50
N184,N18
J9383,J93
D689,D68
I25119,I25
I953,I95
E8770,E87
Z20828,Z20
I340,I34
